title,url,outlet,outlet_url,date,embed
The best data journalism stories of 2022,https://datajournalism.com/read/blog/best-data-journalism-projects-2022,DataJournalism.com,https://datajournalism.com/,12/1/22,FALSE
Fentanyl Deaths Are Overwhelming Cities,https://omny.fm/shows/the-big-take/fentanyl-deaths-are-overwhelming-cities,The Big Take,https://www.bloomberg.com/bigtake,12/1/22,"<iframe src=""https://omny.fm/shows/the-big-take/fentanyl-deaths-are-overwhelming-cities/embed?style=Cover"" width=""100%"" height=""200"" allow=""autoplay; clipboard-write"" frameborder=""0"" title=""Fentanyl Deaths Are Overwhelming Cities""></iframe>"
"Data Vis Dispatch, March 7",https://blog.datawrapper.de/data-vis-dispatch-march-7-2023/,Datawrapper,https://www.datawrapper.de/,3/1/23,FALSE
Elon MuskÕs Private Jet Flew Enough in 2022 to Circle the Globe a Dozen Times,https://robbreport.com/motors/aviation/elon-musk-private-plane-1234813933/,Robb Report,https://robbreport.com/,3/1/23,FALSE
Calling Out the Racial and Gender Bias in Generative AI,https://www.bloomberg.com/news/videos/2023-06-09/calling-out-the-racial-and-gender-bias-in-generative-ai-video,Bloomberg TV,https://www.bloomberg.com/live/us,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=36b0b571-5497-4ebd-9fb9-849ab7ec8e1e"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>"
"How AI Is Amplifying Extreme Racial, Gender Stereotypes",https://www.bloomberg.com/news/videos/2023-06-09/how-ai-is-amplifying-extreme-racial-gender-stereotypes-video,Bloomberg TV,https://www.bloomberg.com/live/us,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=16796f79-bf76-42cd-b924-092159d74f9a"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>"
Generative AI exaggerates stereotypes,https://flowingdata.com/2023/06/12/generative-ai-exaggerates-stereotypes/,FLOWINGDATA,https://flowingdata.com/,6/1/23,FALSE
"Generative AI tool Stable Diffusion amplifies race, gender stereotypes",https://nypost.com/2023/06/09/ai-tool-stable-diffusion-amplifies-race-and-gender-stereotypes/,New York Post,https://nypost.com/,6/1/23,FALSE
Calling Out the Racial and Gender Bias in Generative AI,https://theglobalherald.com/technology/calling-out-the-racial-and-gender-bias-in-generative-ai/,The Global Herald,https://theglobalherald.com/,6/1/23,FALSE
Yet Another AI Blind Spot: Biased Images,https://omny.fm/shows/the-big-take/yet-another-ai-blind-spot-biased-images,The Big Take,https://www.bloomberg.com/bigtake,6/1/23,"<iframe src=""https://omny.fm/shows/the-big-take/yet-another-ai-blind-spot-biased-images/embed"" width=""100%"" height=""200"" allow=""autoplay; clipboard-write"" frameborder=""0"" title=""Yet Another AI Blind Spot: Biased Images""></iframe>"
Stable Diffusion has a big bias problem.,https://www.theverge.com/2023/6/9/23755289/stable-diffusion-has-a-big-bias-problem,The Verge,https://www.theverge.com/,6/1/23,FALSE
AI Has Some Serious Racial Profiling Issues,https://www.bloomberg.com/news/videos/2023-06-13/ai-has-some-serious-racial-profiling-issues?srnd=all,Bloomberg Quicktake,https://www.bloomberg.com/Quicktake,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=e7ae3186-8d29-4057-abb5-e7bc0c7ccbba"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>"
"Data Journalism Top 10: AI Bias, Targeted Ad Labeling, Remote Work Trends, and KoreaÕs Space Industry",https://gijn.org/2023/06/16/data-journalism-top-10-ai-bias-targeted-ad-labels-remote-work-trends/,Global Investigative Journalism Network (GIJN),https://gijn.org/,6/1/23,FALSE
Is AI more biased than humans?,https://www.marketplace.org/shows/marketplace-tech/is-ai-more-biased-than-humans/,Marketplace Tech,https://www.marketplace.org/shows/marketplace-tech/,6/1/23,"<iframe id=""mp_775605"" title=""Marketplace Embed"" src=""https://www.marketplace.org/shows/marketplace-tech/is-ai-more-biased-than-humans/popout"" frameborder=""0"" width=""100%"" height=""200""></iframe>"
Sustainable Development Report 2023,https://dashboards.sdgindex.org/,United Nations Sustainable Development Network,https://www.sdgindex.org/,6/1/23,FALSE
Bloomberg exposes racial and gender bias in AI model,https://rowsandcolumns.substack.com/p/bloomberg-exposes-racial-and-gender,Rows & Columns,https://rowsandcolumns.substack.com/,6/1/23,FALSE
"Black Artists Say A.I. Shows Bias, With Algorithms Erasing Their History",https://www.nytimes.com/2023/07/04/arts/design/black-artists-bias-ai.html,The New York Times,https://www.nytimes.com/,7/1/23,FALSE
"Decoding the Discussion: In the Senate AI Hearing, Uncertainty Speaks Louder than Consensus",https://lastweekin.ai/p/senate-ai-hearing,Skynet Today,https://www.skynettoday.com/,6/1/23,FALSE
A Gender Perspective on AI Risks to National Security,https://oursecurefuture.org/sites/default/files/2024-03/OSF-GenderPerspectiveOnAIRisks.pdf,Our Secure Future,https://oursecurefuture.org/,3/1/24,FALSE
Rendering misrepresentation: Diversity failures in AI image generation,https://www.brookings.edu/articles/rendering-misrepresentation-diversity-failures-in-ai-image-generation/,The Brookings Institution,https://www.brookings.edu/,2/1/24,FALSE
Racial bias in OpenAI GPT resume rankings,https://flowingdata.com/2024/03/13/racial-bias-in-openai-gpt-resume-rankings/,FLOWINGDATA,https://flowingdata.com/,3/1/24,FALSE
Best Data Visualization Projects of 2023,https://flowingdata.com/2023/12/29/best-of-2023/,FLOWINGDATA,https://flowingdata.com/,12/1/23,FALSE
Helping students understand the biases in generative AI,https://cte.ku.edu/addressing-bias-ai,The University of Kansas,https://ku.edu/,2/1/24,FALSE
Data Journalism Top 10,https://gijn.org/stories/ddj-generative-ai-hiring-bias-womens-national-politics/,Global Investigative Journalism Network (GIJN),https://gijn.org/,3/1/24,FALSE
4 ways AI is contributing to bias in the workplace,https://www.zdnet.com/article/4-ways-ai-is-contributing-to-bias-in-the-workplace/,ZDNET,https://www.zdnet.com/,3/1/24,FALSE
Ethics and Costs of Generative AI,https://libguides.amherst.edu/c.php?g=1350530&p=9969379,Amherst College Library ,https://www.amherst.edu/library/,4/1/24,FALSE
Exploring the Impact of AI on Black Americans,https://hai.stanford.edu/sites/default/files/2024-02/Exploring-Impact-AI-Black-Americans.pdf,Stanford University Human Centered Artificial Intelligence (HAI),https://hai.stanford.edu/,2/1/24,FALSE
"The Crunch: cherry tree blooms, the cost of booze and AI bias",https://www.theguardian.com/news/2024/mar/21/the-crunch-cherry-trees-booze-and-ai-bias,The Guardian,https://www.theguardian.com/us,3/1/24,FALSE
Tackling AI Hyping,https://link.springer.com/article/10.1007/s43681-024-00481-y,AI and Ethics,https://link.springer.com/journal/43681,4/1/24,FALSE
Advancing a More Global Agenda for Trustworthy Artificial Intelligence,https://carnegieendowment.org/research/2024/04/advancing-a-more-global-agenda-for-trustworthy-artificial-intelligence?lang=en,Carnegie Endowment for International Peace,,4/1/24,FALSE
Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,National Institute of Standards in Technology (NIST),https://www.nist.gov/,7/1/24,FALSE
"Unfair Competition in the Creative Industries: The Impact of AI
Scraping",https://ir.law.utk.edu/cgi/viewcontent.cgi?article=1169&context=tjlp,Tenessee Journal of Law and Policy,https://ir.law.utk.edu/tjlp/,5/1/24,FALSE
Comment to National Institute of Standards in Technology (NIST),https://downloads.regulations.gov/NIST-2023-0009-0165/attachment_1.pdf,The Center for AI and Digital Policy (CAIDP),https://www.caidp.org/,2/1/24,FALSE
Generative AI and K-12 Education: An MIT Perspective,https://mit-genai.pubpub.org/pub/4k9msp17/release/1,Massachussetts Institute of Technology (MIT),https://mit-genai.pubpub.org/,3/1/24,FALSE
Generating Harms,https://epic.org/wp-content/uploads/2024/05/EPIC-Generative-AI-II-Report-May2024-1.pdf,Electronic Privacy Information Center,https://epic.org/,3/1/24,FALSE
The harms of terminology: why we should reject so-called “frontier AI”,https://link.springer.com/article/10.1007/s43681-024-00438-1,AI and Ethics,https://link.springer.com/journal/43681,3/1/24,FALSE
Tips for the use of generative AI in research and education,https://www.epfl.ch/about/vice-presidencies/vice-presidency-for-academic-affairs-vpa/tips-for-the-use-of-generative-ai-in-research-and-education/,EPFL,https://www.epfl.ch/en/,6/1/24,FALSE
The Legal Imitation Game: Generative AI’s Incompatibility with Clinical Legal Education,https://ir.lawnet.fordham.edu/flr/vol92/iss5/6/,Foldham Law Review,https://ir.lawnet.fordham.edu/flr/,4/1/24,FALSE
