title,url,outlet,outlet_url,date,embed,cat
"How AI Is Amplifying Extreme Racial, Gender Stereotypes",https://www.bloomberg.com/news/videos/2023-06-09/how-ai-is-amplifying-extreme-racial-gender-stereotypes-video,Bloomberg TV,https://www.bloomberg.com/live/us,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=16796f79-bf76-42cd-b924-092159d74f9a"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>",policy (public)
Generative AI exaggerates stereotypes,https://flowingdata.com/2023/06/12/generative-ai-exaggerates-stereotypes/,FLOWINGDATA,https://flowingdata.com/,6/1/23,FALSE,policy (public)
"Generative AI tool Stable Diffusion amplifies race, gender stereotypes",https://nypost.com/2023/06/09/ai-tool-stable-diffusion-amplifies-race-and-gender-stereotypes/,New York Post,https://nypost.com/,6/1/23,FALSE,policy (public)
Calling Out the Racial and Gender Bias in Generative AI,https://theglobalherald.com/technology/calling-out-the-racial-and-gender-bias-in-generative-ai/,The Global Herald,https://theglobalherald.com/,6/1/23,FALSE,policy (public)
Yet Another AI Blind Spot: Biased Images,https://omny.fm/shows/the-big-take/yet-another-ai-blind-spot-biased-images,The Big Take,https://www.bloomberg.com/bigtake,6/1/23,"<iframe src=""https://omny.fm/shows/the-big-take/yet-another-ai-blind-spot-biased-images/embed"" width=""100%"" height=""200"" allow=""autoplay; clipboard-write"" frameborder=""0"" title=""Yet Another AI Blind Spot: Biased Images""></iframe>",research
Stable Diffusion has a big bias problem.,https://www.theverge.com/2023/6/9/23755289/stable-diffusion-has-a-big-bias-problem,The Verge,https://www.theverge.com/,6/1/23,FALSE,research
AI Has Some Serious Racial Profiling Issues,https://www.bloomberg.com/news/videos/2023-06-13/ai-has-some-serious-racial-profiling-issues?srnd=all,Bloomberg Quicktake,https://www.bloomberg.com/Quicktake,6/1/23,"<iframe src=""https://www.bloomberg.com/media-manifest/embed/iframe?id=e7ae3186-8d29-4057-abb5-e7bc0c7ccbba"" allowscriptaccess=""always"" frameborder=""0"" width=""100%"" height=""200""></iframe>",research
"Data Journalism Top 10: AI Bias, Targeted Ad Labeling, Remote Work Trends, and KoreaÕs Space Industry",https://gijn.org/2023/06/16/data-journalism-top-10-ai-bias-targeted-ad-labels-remote-work-trends/,Global Investigative Journalism Network (GIJN),https://gijn.org/,6/1/23,FALSE,research
Is AI more biased than humans?,https://www.marketplace.org/shows/marketplace-tech/is-ai-more-biased-than-humans/,Marketplace Tech,https://www.marketplace.org/shows/marketplace-tech/,6/1/23,"<iframe id=""mp_775605"" title=""Marketplace Embed"" src=""https://www.marketplace.org/shows/marketplace-tech/is-ai-more-biased-than-humans/popout"" frameborder=""0"" width=""100%"" height=""200""></iframe>",research
Sustainable Development Report 2023,https://dashboards.sdgindex.org/,United Nations Sustainable Development Network,https://www.sdgindex.org/,6/1/23,FALSE,research
